11000 2.00 -0.62 -0.47 -0.404 -0.078 -0.006 -0.011 -0.144 -0.010 -0.040 -0.002    
11250 2.00 -0.69 -0.52 -0.438 -0.082 -0.008 -0.017 -0.163 -0.012 -0.044 -0.003    
11500 2.00 -0.76 -0.57 -0.468 -0.086 -0.010 -0.02  -0.182 -0.016 -0.049 -0.005    
11750 2.00 -0.82 -0.62 -0.498 -0.090 -0.012 -0.029 -0.201 -0.018 -0.053 -0.006    
 3500 2.50  2.92 -2.06  1.487  1.381  0.802  1.962  4.977  1.080  1.211  0.142   
 3750 2.50  2.72 -1.37  1.670  1.477  0.811  1.688  4.091  0.979  1.088  0.119   
 4000 2.50  2.53 -0.99  1.600  1.413  0.784  1.507  3.523  0.869  0.960  0.102   
 4250 2.50  2.36 -0.72  1.360  1.294  0.701  1.331  3.079  0.755  0.831  0.088   
 4500 2.50  2.19 -0.52  1.100  1.183  0.614  1.176  2.708  0.652  0.716  0.076   
 4750 2.50  2.03 -0.36  0.875  1.080  0.545  1.051  2.396  0.564  0.619  0.066   
 5000 2.50  1.88 -0.25  0.676  0.975  0.491  0.951  2.131  0.491  0.539  0.056   
 5250 2.50  1.73 -0.17  0.511  0.868  0.443  0.865  1.900  0.430  0.474  0.047   
 5500 2.50  1.60 -0.10  0.383  0.766  0.398  0.784  1.696  0.376  0.418  0.038   
 5750 2.50  1.46 -0.05  0.293  0.669  0.357  0.707  1.509  0.327  0.367  0.032   
 6000 2.50  1.33 -0.01  0.235  0.578  0.317  0.632  1.336  0.282  0.319  0.029   
 6250 2.50  1.20  0.02  0.205  0.495  0.279  0.559  1.174  0.242  0.275  0.027   
 6500 2.50  1.07  0.05  0.198  0.421  0.242  0.487  1.020  0.204  0.234  0.027   
 6750 2.50  0.94  0.07  0.202  0.354  0.206  0.416  0.874  0.168  0.196  0.026   
 7000 2.50  0.82  0.08  0.211  0.291  0.170  0.348  0.738  0.138  0.163  0.026   
 7250 2.50  0.70  0.09  0.224  0.224  0.136  0.282  0.612  0.111  0.133  0.026   
 7500 2.50  0.59  0.09  0.229  0.159  0.103  0.222  0.497  0.088  0.108  0.026   
 7750 2.50  0.48  0.08  0.215  0.111  0.077  0.171  0.395  0.068  0.085  0.025   
 8000 2.50  0.38  0.07  0.188  0.069  0.054  0.127  0.306  0.052  0.065  0.024   
 8250 2.50  0.27  0.05  0.151  0.033  0.036  0.091  0.229  0.039  0.048  0.022   
 8500 2.50  0.18  0.01  0.107  0.004  0.021  0.063  0.165  0.029  0.034  0.021   
 8750 2.50  0.08 -0.03  0.059 -0.019  0.011  0.042  0.112  0.021  0.022  0.018   
 9000 2.50 -0.00 -0.07  0.012 -0.036  0.003  0.026  0.066  0.015  0.011  0.015    
 9250 2.50 -0.09 -0.12 -0.036 -0.049 -0.002  0.013  0.025  0.010  0.001  0.012    
 9500 2.50 -0.18 -0.17 -0.082 -0.059 -0.006  0.003 -0.010  0.005 -0.008  0.009    
 9750 2.50 -0.26 -0.22 -0.128 -0.067 -0.009 -0.005 -0.042  0.001 -0.016  0.006    
10000 2.50 -0.34 -0.26 -0.171 -0.073 -0.011 -0.012 -0.071 -0.003 -0.023  0.004    
10250 2.50 -0.41 -0.31 -0.213 -0.079 -0.013 -0.019 -0.098 -0.007 -0.030  0.001    
10500 2.50 -0.48 -0.36 -0.253 -0.085 -0.015 -0.025 -0.122 -0.010 -0.036 -0.001    
10750 2.50 -0.56 -0.41 -0.292 -0.089 -0.017 -0.030 -0.145 -0.013 -0.041 -0.003    
11000 2.50 -0.63 -0.46 -0.327 -0.094 -0.019 -0.036 -0.166 -0.016 -0.046 -0.005    
11250 2.50 -0.70 -0.51 -0.362 -0.099 -0.021 -0.041 -0.187 -0.019 -0.051 -0.007    
11500 2.50 -0.76 -0.56 -0.393 -0.103 -0.023 -0.047 -0.206 -0.022 -0.055 -0.009    
11750 2.50 -0.83 -0.61 -0.422 -0.108 -0.025 -0.052 -0.224 -0.024 -0.059 -0.010    
12000 2.50 -0.90 -0.65 -0.450 -0.112 -0.027 -0.058 -0.242 -0.026 -0.063 -0.011    
12250 2.50 -0.96 -0.70 -0.475 -0.116 -0.029 -0.063 -0.259 -0.029 -0.067 -0.013    
12500 2.50 -1.03 -0.75 -0.499 -0.120 -0.031 -0.069 -0.276 -0.031 -0.071 -0.014    
12750 2.50 -1.09 -0.80 -0.521 -0.124 -0.034 -0.074 -0.292 -0.034 -0.075 -0.016    
13000 2.50 -1.15 -0.84 -0.543 -0.128 -0.036 -0.079 -0.308 -0.035 -0.078 -0.017    
 3500 3.00  2.91 -2.06  1.382  1.339  0.808  1.969  4.968  1.060  1.198  0.147   
 3750 3.00  2.72 -1.39  1.555  1.429  0.804  1.692  4.116  0.976  1.086  0.117   
 4000 3.00  2.54 -1.00  1.512  1.382  0.785  1.514  3.539  0.873  0.964  0.099   
 4250 3.00  2.36 -0.73  1.303  1.269  0.710  1.343  3.093  0.762  0.838  0.085   
 4500 3.00  2.19 -0.53  1.051  1.155  0.622  1.186  2.720  0.659  0.724  0.073   
 4750 3.00  2.03 -0.37  0.832  1.057  0.548  1.056  2.405  0.572  0.627  0.063   
 5000 3.00  1.88 -0.26  0.641  0.959  0.491  0.953  2.138  0.498  0.546  0.054   
 5250 3.00  1.74 -0.17  0.475  0.860  0.443  0.866  1.907  0.436  0.479  0.044   
 5500 3.00  1.60 -0.11  0.343  0.762  0.399  0.786  1.704  0.382  0.422  0.036   
 5750 3.00  1.46 -0.06  0.246  0.670  0.359  0.711  1.520  0.333  0.371  0.029   
 6000 3.00  1.33 -0.02  0.182  0.583  0.321  0.640  1.351  0.290  0.324  0.026   
 6250 3.00  1.20  0.00  0.148  0.504  0.285  0.570  1.192  0.250  0.281  0.024   
 6500 3.00  1.07  0.03  0.137  0.433  0.249  0.502  1.042  0.213  0.241  0.022   
 6750 3.00  0.95  0.05  0.140  0.370  0.215  0.434  0.900  0.177  0.203  0.021   
 7000 3.00  0.83  0.07  0.152  0.313  0.182  0.368  0.765  0.145  0.169  0.021   
 7250 3.00  0.72  0.08  0.167  0.259  0.149  0.304  0.638  0.116  0.138  0.021   
 7500 3.00  0.60  0.08  0.182  0.202  0.117  0.243  0.521  0.092  0.112  0.021   
 7750 3.00  0.49  0.08  0.191  0.144  0.088  0.188  0.418  0.071  0.089  0.020   
 8000 3.00  0.39  0.06  0.180  0.101  0.063  0.140  0.324  0.054  0.069  0.020   
 8250 3.00  0.29  0.04  0.157  0.063  0.043  0.100  0.243  0.038  0.051  0.019   
 8500 3.00  0.19  0.01  0.124  0.031  0.026  0.068  0.175  0.027  0.036  0.018   
 8750 3.00  0.09 -0.02  0.085  0.003  0.013  0.043  0.118  0.019  0.024  0.016   
 9000 3.00  0.00 -0.07  0.045 -0.018  0.004  0.023  0.069  0.012  0.013  0.014    
 9250 3.00 -0.09 -0.11  0.003 -0.036 -0.004  0.007  0.026  0.006  0.003  0.011    
 9500 3.00 -0.17 -0.16 -0.038 -0.050 -0.010 -0.006 -0.012  0.001 -0.006  0.008    
 9750 3.00 -0.26 -0.21 -0.081 -0.062 -0.014 -0.016 -0.046 -0.004 -0.015  0.006    
10000 3.00 -0.34 -0.26 -0.122 -0.071 -0.018 -0.025 -0.077 -0.008 -0.023  0.003    
10250 3.00 -0.41 -0.31 -0.162 -0.079 -0.020 -0.033 -0.105 -0.011 -0.030  0.000    
10500 3.00 -0.49 -0.36 -0.201 -0.086 -0.023 -0.039 -0.131 -0.014 -0.036 -0.002    
10750 3.00 -0.56 -0.41 -0.238 -0.091 -0.025 -0.046 -0.155 -0.018 -0.042 -0.005    
11000 3.00 -0.63 -0.46 -0.274 -0.097 -0.027 -0.051 -0.177 -0.021 -0.048 -0.007    
11250 3.00 -0.70 -0.50 -0.307 -0.102 -0.029 -0.057 -0.198 -0.024 -0.053 -0.009    
11500 3.00 -0.77 -0.55 -0.340 -0.107 -0.030 -0.062 -0.217 -0.026 -0.057 -0.010    
11750 3.00 -0.84 -0.60 -0.371 -0.111 -0.032 -0.067 -0.236 -0.029 -0.062 -0.012    
12000 3.00 -0.90 -0.65 -0.398 -0.116 -0.034 -0.072 -0.254 -0.031 -0.066 -0.013    
12250 3.00 -0.97 -0.70 -0.425 -0.120 -0.036 -0.077 -0.271 -0.034 -0.070 -0.015    
12500 3.00 -1.03 -0.75 -0.450 -0.124 -0.038 -0.082 -0.287 -0.035 -0.073 -0.016    
12750 3.00 -1.10 -0.79 -0.473 -0.128 -0.040 -0.087 -0.303 -0.037 -0.077 -0.018    
13000 3.00 -1.16 -0.84 -0.494 -0.132 -0.042 -0.092 -0.319 -0.040 -0.081 -0.019    
 3500 3.50  2.85 -1.89  1.323  1.380  0.831  1.939  4.736  0.964  1.133  0.182   
 3750 3.50  2.72 -1.40  1.461  1.404  0.808  1.702  4.112  0.954  1.072  0.122   
 4000 3.50  2.54 -1.02  1.445  1.360  0.789  1.523  3.559  0.872  0.965  0.096   
 4250 3.50  2.36 -0.75  1.267  1.252  0.722  1.357  3.111  0.767  0.844  0.081   
 4500 3.50  2.20 -0.54  1.027  1.136  0.633  1.199  2.735  0.667  0.732  0.070   
 4750 3.50  2.04 -0.38  0.810  1.038  0.555  1.065  2.416  0.578  0.634  0.060   
 5000 3.50  1.88 -0.26  0.621  0.946  0.494  0.957  2.146  0.504  0.552  0.051   
 5250 3.50  1.74 -0.18  0.454  0.853  0.445  0.868  1.914  0.442  0.484  0.042   
